kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.104639,2.56534,134217728,f32,1,0,strided,2,dram
SAXPY,1,0.0913248,2.93935,134217728,f32,1,0,strided,2,dram
SAXPY,2,0.0934217,2.87337,134217728,f32,1,0,strided,2,dram
SAXPY,3,0.0940278,2.85485,134217728,f32,1,0,strided,2,dram
SAXPY,4,0.0939731,2.85651,134217728,f32,1,0,strided,2,dram
SAXPY,5,0.0917031,2.92722,134217728,f32,1,0,strided,2,dram
SAXPY,6,0.102143,2.62804,134217728,f32,1,0,strided,2,dram
SAXPY,7,0.12115,2.21573,134217728,f32,1,0,strided,2,dram
SAXPY,8,0.101451,2.64597,134217728,f32,1,0,strided,2,dram
SAXPY,9,0.0990136,2.7111,134217728,f32,1,0,strided,2,dram
DOT,0,0.0721831,3.71881,134217728,f32,1,0,strided,2,dram
DOT,1,0.0957187,2.80442,134217728,f32,1,0,strided,2,dram
DOT,2,0.0949188,2.82805,134217728,f32,1,0,strided,2,dram
DOT,3,0.0749438,3.58182,134217728,f32,1,0,strided,2,dram
DOT,4,0.0772864,3.47326,134217728,f32,1,0,strided,2,dram
DOT,5,0.0851424,3.15278,134217728,f32,1,0,strided,2,dram
DOT,6,0.0816683,3.2869,134217728,f32,1,0,strided,2,dram
DOT,7,0.0735179,3.65129,134217728,f32,1,0,strided,2,dram
DOT,8,0.0858086,3.1283,134217728,f32,1,0,strided,2,dram
DOT,9,0.0746243,3.59716,134217728,f32,1,0,strided,2,dram
MUL,0,0.147102,0.912415,134217728,f32,1,0,strided,2,dram
MUL,1,0.120898,1.11018,134217728,f32,1,0,strided,2,dram
MUL,2,0.127045,1.05646,134217728,f32,1,0,strided,2,dram
MUL,3,0.10903,1.23102,134217728,f32,1,0,strided,2,dram
MUL,4,0.107024,1.25409,134217728,f32,1,0,strided,2,dram
MUL,5,0.107623,1.24711,134217728,f32,1,0,strided,2,dram
MUL,6,0.116574,1.15135,134217728,f32,1,0,strided,2,dram
MUL,7,0.101026,1.32855,134217728,f32,1,0,strided,2,dram
MUL,8,0.114024,1.1771,134217728,f32,1,0,strided,2,dram
MUL,9,0.109026,1.23106,134217728,f32,1,0,strided,2,dram
STENCIL,0,0.115026,5.83422,134217728,f32,1,0,strided,2,dram
STENCIL,1,0.127054,5.28191,134217728,f32,1,0,strided,2,dram
STENCIL,2,0.145005,4.62805,134217728,f32,1,0,strided,2,dram
STENCIL,3,0.161041,4.16719,134217728,f32,1,0,strided,2,dram
STENCIL,4,0.164009,4.09178,134217728,f32,1,0,strided,2,dram
STENCIL,5,0.169035,3.97011,134217728,f32,1,0,strided,2,dram
STENCIL,6,0.128186,5.23527,134217728,f32,1,0,strided,2,dram
STENCIL,7,0.126028,5.3249,134217728,f32,1,0,strided,2,dram
STENCIL,8,0.162966,4.11796,134217728,f32,1,0,strided,2,dram
STENCIL,9,0.192798,3.48078,134217728,f32,1,0,strided,2,dram
