kernel,run,elapsed_sec,gflops,array_size,type,aligned,tail,access,stride,memory_level
SAXPY,0,0.114916,2.33593,134217728,f32,1,0,unit-stride,1,dram
SAXPY,1,0.0994623,2.69887,134217728,f32,1,0,unit-stride,1,dram
SAXPY,2,0.0964089,2.78434,134217728,f32,1,0,unit-stride,1,dram
SAXPY,3,0.106181,2.52809,134217728,f32,1,0,unit-stride,1,dram
SAXPY,4,0.108648,2.4707,134217728,f32,1,0,unit-stride,1,dram
SAXPY,5,0.0983821,2.7285,134217728,f32,1,0,unit-stride,1,dram
SAXPY,6,0.102551,2.61758,134217728,f32,1,0,unit-stride,1,dram
SAXPY,7,0.0987722,2.71772,134217728,f32,1,0,unit-stride,1,dram
SAXPY,8,0.103493,2.59376,134217728,f32,1,0,unit-stride,1,dram
SAXPY,9,0.105759,2.53817,134217728,f32,1,0,unit-stride,1,dram
DOT,0,0.120318,2.23104,134217728,f32,1,0,unit-stride,1,dram
DOT,1,0.112026,2.3962,134217728,f32,1,0,unit-stride,1,dram
DOT,2,0.11318,2.37177,134217728,f32,1,0,unit-stride,1,dram
DOT,3,0.108163,2.48176,134217728,f32,1,0,unit-stride,1,dram
DOT,4,0.11117,2.41465,134217728,f32,1,0,unit-stride,1,dram
DOT,5,0.111874,2.39944,134217728,f32,1,0,unit-stride,1,dram
DOT,6,0.110951,2.41941,134217728,f32,1,0,unit-stride,1,dram
DOT,7,0.114651,2.34133,134217728,f32,1,0,unit-stride,1,dram
DOT,8,0.117376,2.28698,134217728,f32,1,0,unit-stride,1,dram
DOT,9,0.111933,2.39818,134217728,f32,1,0,unit-stride,1,dram
MUL,0,0.125112,1.07278,134217728,f32,1,0,unit-stride,1,dram
MUL,1,0.120312,1.11558,134217728,f32,1,0,unit-stride,1,dram
MUL,2,0.116684,1.15027,134217728,f32,1,0,unit-stride,1,dram
MUL,3,0.118416,1.13345,134217728,f32,1,0,unit-stride,1,dram
MUL,4,0.126933,1.05739,134217728,f32,1,0,unit-stride,1,dram
MUL,5,0.119886,1.11954,134217728,f32,1,0,unit-stride,1,dram
MUL,6,0.127223,1.05498,134217728,f32,1,0,unit-stride,1,dram
MUL,7,0.126976,1.05703,134217728,f32,1,0,unit-stride,1,dram
MUL,8,0.123236,1.08911,134217728,f32,1,0,unit-stride,1,dram
MUL,9,0.119798,1.12037,134217728,f32,1,0,unit-stride,1,dram
STENCIL,0,0.143262,4.68435,134217728,f32,1,0,unit-stride,1,dram
STENCIL,1,0.150223,4.46727,134217728,f32,1,0,unit-stride,1,dram
STENCIL,2,0.16401,4.09174,134217728,f32,1,0,unit-stride,1,dram
STENCIL,3,0.151906,4.4178,134217728,f32,1,0,unit-stride,1,dram
STENCIL,4,0.159478,4.20804,134217728,f32,1,0,unit-stride,1,dram
STENCIL,5,0.151923,4.41729,134217728,f32,1,0,unit-stride,1,dram
STENCIL,6,0.143345,4.68162,134217728,f32,1,0,unit-stride,1,dram
STENCIL,7,0.144486,4.64467,134217728,f32,1,0,unit-stride,1,dram
STENCIL,8,0.151985,4.41549,134217728,f32,1,0,unit-stride,1,dram
STENCIL,9,0.162759,4.1232,134217728,f32,1,0,unit-stride,1,dram
